aluno,materia,turma,serie_num,n1_norm,n2_norm,n3_norm,n4_norm,media_pond_norm,media_geral_aluno,slope_notas,variancia_notas,serie_num_norm,pct_materias_ok,media_turma_norm,status_encoded,status_label
Ana Azevedo,Arte,5° Fundamental,6,0.23,0.63,0.7,0.44,0.5105,0.5613,0.21,0.3652,0.0,0.4615,0.6067,1,Recuperação
Ana Azevedo,Biologia,5° Fundamental,6,0.64,0.98,0.51,0.56,0.6685,0.5613,-0.213,0.367,0.0,0.4615,0.5939,2,Aprovado
Ana Azevedo,Ciências,5° Fundamental,6,0.29,0.62,0.2,0.74,0.485,0.5613,0.279,0.4477,0.0,0.4615,0.5928,0,Reprovado
Ana Azevedo,Educação Física,5° Fundamental,6,0.63,0.29,0.38,0.49,0.4405,0.5613,-0.099,0.2539,0.0,0.4615,0.5915,0,Reprovado
Ana Azevedo,Filosofia,5° Fundamental,6,0.92,0.77,0.38,0.62,0.6575,0.5613,-0.387,0.3988,0.0,0.4615,0.6039,2,Aprovado
Ana Azevedo,Física,5° Fundamental,6,0.21,0.59,0.4,0.71,0.5025,0.5613,0.393,0.3798,0.0,0.4615,0.6147,1,Recuperação
Ana Azevedo,Geografia,5° Fundamental,6,0.22,0.77,0.39,0.34,0.436,0.5613,-0.006,0.4116,0.0,0.4615,0.6086,0,Reprovado
Ana Azevedo,História,5° Fundamental,6,0.46,0.48,0.71,0.6,0.5695,0.5613,0.195,0.2012,0.0,0.4615,0.6029,1,Recuperação
Ana Azevedo,Inglês,5° Fundamental,6,0.55,0.2,0.74,0.3,0.435,0.5613,-0.063,0.4232,0.0,0.4615,0.6071,0,Reprovado
Ana Azevedo,Matemática,5° Fundamental,6,0.7,0.34,0.8,0.62,0.611,0.5613,0.066,0.3422,0.0,0.4615,0.5935,2,Aprovado
Ana Azevedo,Português,5° Fundamental,6,0.84,0.74,0.28,0.65,0.618,0.5613,-0.309,0.4232,0.0,0.4615,0.6053,2,Aprovado
Ana Azevedo,Química,5° Fundamental,6,0.24,0.6,0.86,0.73,0.632,0.5613,0.519,0.4625,0.0,0.4615,0.6031,2,Aprovado
Ana Azevedo,Sociologia,5° Fundamental,6,0.63,0.48,0.87,0.89,0.7305,0.5613,0.351,0.3422,0.0,0.4615,0.5998,2,Aprovado
Ana Cardoso,Arte,5° Fundamental,6,0.9,0.71,0.76,0.71,0.7605,0.6222,-0.156,0.1556,0.0,0.6154,0.6067,2,Aprovado
Ana Cardoso,Biologia,5° Fundamental,6,0.94,0.27,0.59,0.5,0.553,0.6222,-0.3,0.4818,0.0,0.6154,0.5939,1,Recuperação
Ana Cardoso,Ciências,5° Fundamental,6,0.29,0.96,0.5,0.45,0.558,0.6222,0.006,0.4982,0.0,0.6154,0.5928,1,Recuperação
Ana Cardoso,Educação Física,5° Fundamental,6,0.25,0.87,0.59,1.0,0.715,0.6222,0.591,0.5757,0.0,0.6154,0.5915,2,Aprovado
Ana Cardoso,Filosofia,5° Fundamental,6,0.94,0.52,0.79,0.39,0.6325,0.6222,-0.414,0.4334,0.0,0.6154,0.6039,2,Aprovado
Ana Cardoso,Física,5° Fundamental,6,0.64,0.9,0.6,0.34,0.605,0.6222,-0.36,0.397,0.0,0.6154,0.6147,2,Aprovado
Ana Cardoso,Geografia,5° Fundamental,6,0.34,0.3,0.83,0.98,0.6445,0.6222,0.735,0.5952,0.0,0.6154,0.6086,2,Aprovado
Ana Cardoso,História,5° Fundamental,6,0.71,0.44,0.62,0.43,0.536,0.6222,-0.198,0.2387,0.0,0.6154,0.6029,1,Recuperação
Ana Cardoso,Inglês,5° Fundamental,6,0.29,0.92,0.52,0.76,0.646,0.6222,0.303,0.478,0.0,0.6154,0.6071,2,Aprovado
Ana Cardoso,Matemática,5° Fundamental,6,0.53,0.92,0.27,0.83,0.6525,0.6222,0.075,0.5133,0.0,0.6154,0.5935,2,Aprovado
Ana Cardoso,Português,5° Fundamental,6,0.23,0.81,0.54,0.95,0.6685,0.6222,0.567,0.5503,0.0,0.6154,0.6053,2,Aprovado
Ana Cardoso,Química,5° Fundamental,6,0.95,0.63,0.61,0.28,0.584,0.6222,-0.609,0.474,0.0,0.6154,0.6031,1,Recuperação
Ana Cardoso,Sociologia,5° Fundamental,6,0.58,0.8,0.46,0.34,0.533,0.6222,-0.318,0.3399,0.0,0.6154,0.5998,1,Recuperação
Ana Carvalho,Arte,5° Fundamental,6,0.81,0.95,0.82,0.71,0.8175,0.6153,-0.129,0.1705,0.0,0.5385,0.6067,2,Aprovado
Ana Carvalho,Biologia,5° Fundamental,6,0.95,0.48,0.36,0.33,0.499,0.6153,-0.594,0.4978,0.0,0.5385,0.5939,0,Reprovado
Ana Carvalho,Ciências,5° Fundamental,6,0.84,0.85,0.26,0.48,0.5895,0.6153,-0.501,0.4999,0.0,0.5385,0.5928,1,Recuperação
Ana Carvalho,Educação Física,5° Fundamental,6,0.66,0.54,0.6,0.63,0.606,0.6153,-0.009,0.0887,0.0,0.5385,0.5915,2,Aprovado
Ana Carvalho,Filosofia,5° Fundamental,6,0.96,0.44,0.68,0.84,0.724,0.6153,-0.036,0.3894,0.0,0.5385,0.6039,2,Aprovado
Ana Carvalho,Física,5° Fundamental,6,0.34,0.54,0.78,0.31,0.491,0.6153,0.045,0.3761,0.0,0.5385,0.6147,0,Reprovado
Ana Carvalho,Geografia,5° Fundamental,6,0.75,0.2,0.95,0.5,0.5875,0.6153,0.0,0.5612,0.0,0.5385,0.6086,1,Recuperação
Ana Carvalho,História,5° Fundamental,6,0.51,0.47,0.21,0.92,0.548,0.6153,0.291,0.5084,0.0,0.5385,0.6029,1,Recuperação
Ana Carvalho,Inglês,5° Fundamental,6,0.6,0.67,0.84,0.36,0.6055,0.6153,-0.165,0.3448,0.0,0.5385,0.6071,2,Aprovado
Ana Carvalho,Matemática,5° Fundamental,6,0.71,0.41,0.84,0.73,0.6735,0.6153,0.147,0.3189,0.0,0.5385,0.5935,2,Aprovado
Ana Carvalho,Português,5° Fundamental,6,0.35,0.69,0.81,0.76,0.673,0.6153,0.405,0.3595,0.0,0.5385,0.6053,2,Aprovado
Ana Carvalho,Química,5° Fundamental,6,0.93,0.76,0.54,0.52,0.667,0.6153,-0.435,0.3375,0.0,0.5385,0.6031,2,Aprovado
Ana Carvalho,Sociologia,5° Fundamental,6,0.51,0.44,0.31,0.76,0.5175,0.6153,0.186,0.3276,0.0,0.5385,0.5998,1,Recuperação
Ana Ferreira,Arte,5° Fundamental,6,0.83,0.64,0.48,0.79,0.683,0.6252,-0.084,0.2759,0.0,0.6154,0.6067,2,Aprovado
